round,g1_a,g1_b,g2_a,g2_b,ee_choice,coin_flip,realized,wealth_expected,wealth_actual,g1_max,g1_min,g1_range,g1_mean,g1_signs_diff,g1_both_positive,g1_both_negative,g1_count_positive,g1_count_negative,g1_both_gainers,g1_both_shrinkers,g1_count_gainers,g1_count_shrinkers,g2_max,g2_min,g2_range,g2_mean,g2_signs_diff,g2_both_positive,g2_both_negative,g2_count_positive,g2_count_negative,g2_both_gainers,g2_both_shrinkers,g2_count_gainers,g2_count_shrinkers
215,0.427,2.164,0.427,1.184,1,2,2.164,9.241349859625044e+26,1.604147476130632e+23,2.164,0.427,1.737,1.2955,0,1,0,2,0,0,0,1,1,1.184,0.427,0.7569999999999999,0.8055,0,1,0,2,0,0,0,1,1
216,0.649,1.739,0.841,1.739,2,2,1.739,1.1921341318916307e+27,2.7896124609911696e+23,1.739,0.649,1.09,1.194,0,1,0,2,0,0,0,1,1,1.739,0.841,0.8980000000000001,1.29,0,1,0,2,0,0,0,1,1
217,0.649,0.841,0.583,1.006,2,2,1.006,9.471505677879005e+26,2.8063501357571167e+23,0.841,0.649,0.19199999999999995,0.745,0,1,0,2,0,0,1,0,2,1.006,0.583,0.42300000000000004,0.7945,0,1,0,2,0,0,0,1,1
218,0.649,2.164,0.427,2.164,1,1,0.649,1.3321672735936823e+27,1.8213212381063688e+23,2.164,0.649,1.5150000000000001,1.4065,0,1,0,2,0,0,0,1,1,2.164,0.427,1.737,1.2955,0,1,0,2,0,0,0,1,1
219,0.583,1.006,0.427,0.841,1,1,0.583,1.0584068988701806e+27,1.061830281816013e+23,1.006,0.583,0.42300000000000004,0.7945,0,1,0,2,0,0,0,1,1,0.841,0.427,0.414,0.634,0,1,0,2,0,0,1,0,2
220,0.841,1.739,0.649,2.164,1,1,0.841,1.365344899542533e+27,8.92999267007267e+22,1.739,0.841,0.8980000000000001,1.29,0,1,0,2,0,0,0,1,1,2.164,0.649,1.5150000000000001,1.4065,0,1,0,2,0,0,0,1,1
221,0.427,0.583,1.446,1.739,2,2,1.739,2.174311752521484e+27,1.5529257253256372e+23,0.583,0.427,0.15599999999999997,0.505,0,1,0,2,0,0,1,0,2,1.739,1.446,0.29300000000000015,1.5925,0,1,0,2,0,1,0,2,0
222,1.446,1.739,0.427,0.841,1,2,1.739,3.4625914658904635e+27,2.7005378363412834e+23,1.739,1.446,0.29300000000000015,1.5925,0,1,0,2,0,1,0,2,0,0.841,0.427,0.414,0.634,0,1,0,2,0,0,1,0,2
223,0.427,0.583,0.427,1.446,2,2,1.446,3.242716907806419e+27,3.904977711349496e+23,0.583,0.427,0.15599999999999997,0.505,0,1,0,2,0,0,1,0,2,1.446,0.427,1.019,0.9365,0,1,0,2,0,0,0,1,1
224,0.427,1.184,0.649,1.006,2,1,0.649,2.6833482412098115e+27,2.5343305346658227e+23,1.184,0.427,0.7569999999999999,0.8055,0,1,0,2,0,0,0,1,1,1.006,0.649,0.357,0.8275,0,1,0,2,0,0,0,1,1
