round,g1,g2,choice,coin_flip,wealth_expected,wealth_actual,realized,g1_max,g1_min,g1_range,g1_mean,g1_signs_diff,g1_both_positive,g1_both_negative,g1_count_positive,g1_count_negative,g2_max,g2_min,g2_range,g2_mean,g2_signs_diff,g2_both_positive,g2_both_negative,g2_count_positive,g2_count_negative,g2_both_gainers,g2_both_shrinkers,g2_count_gainers,g2_count_shrinkers,g1_both_gainers,g1_both_shrinkers,g1_count_gainers,g1_count_shrinkers,eta
94,"(-241.5, 309.5)","(108.5, 309.5)",2,2,12194.0,10249.5,309.5,309.5,-241.5,551.0,34.0,1,0,0,1,1,309.5,108.5,201.0,209.0,0,1,0,2,0,1.0,0.0,2.0,0.0,,,,,0.75
95,"(-49.0, 210.5)","(-241.5, 210.5)",1,2,12274.75,10460.0,210.5,210.5,-49.0,259.5,80.75,1,0,0,1,1,210.5,-241.5,452.0,-15.5,1,0,0,1,1,,,,,,,,,0.75
96,"(-305.5, -241.5)","(-407.0, 210.5)",2,1,12176.5,10053.0,-407.0,-241.5,-305.5,64.0,-273.5,0,0,1,0,2,210.5,-407.0,617.5,-98.25,1,0,0,1,1,,,,,,,,,0.75
97,"(-407.0, -241.5)","(440.5, 0.0)",2,1,12396.75,10493.5,440.5,-241.5,-407.0,165.5,-324.25,0,0,1,0,2,440.5,0.0,440.5,220.25,0,0,0,1,0,,,,,,,,,0.75
98,"(210.5, 440.5)","(-407.0, -305.5)",1,2,12722.25,10934.0,440.5,440.5,210.5,230.0,325.5,0,1,0,2,0,-305.5,-407.0,101.5,-356.25,0,0,1,0,2,,,,,1.0,0.0,2.0,0.0,0.75
99,"(-49.0, 0.0)","(440.5, 0.0)",2,1,12942.5,11374.5,440.5,0.0,-49.0,49.0,-24.5,0,0,0,0,1,440.5,0.0,440.5,220.25,0,0,0,1,0,,,,,,,,,0.75
100,"(-407.0, -49.0)","(-305.5, 108.5)",2,2,12844.0,11483.0,108.5,-49.0,-407.0,358.0,-228.0,0,0,1,0,2,108.5,-305.5,414.0,-98.5,1,0,0,1,1,,,,,,,,,0.75
101,"(-241.5, 309.5)","(-407.0, 309.5)",1,2,12878.0,11792.5,309.5,309.5,-241.5,551.0,34.0,1,0,0,1,1,309.5,-407.0,716.5,-48.75,1,0,0,1,1,,,,,,,,,0.75
102,"(-305.5, -241.5)","(-49.0, 0.0)",2,2,12853.5,11792.5,0.0,-241.5,-305.5,64.0,-273.5,0,0,1,0,2,0.0,-49.0,49.0,-24.5,0,0,0,0,1,,,,,,,,,0.75
103,"(-407.0, 210.5)","(309.5, 0.0)",2,2,13008.25,11792.5,0.0,210.5,-407.0,617.5,-98.25,1,0,0,1,1,309.5,0.0,309.5,154.75,0,0,0,1,0,,,,,,,,,0.75
